www.SimpleMEMS.com,,,,,,,,,,,,,,,,
Battery Voltage,3.949 Volts,,,,,,,,,,,,,,,
Sample Rate (SR),(32) Hz,,,,,,,,,,,,,,,
Timestamp Format (TSF),(0) Absolute,,,,,,,,,,,,,,,
Accelerometer Status (AS),(1) On,,,,,,,,,,,,,,,
Acceleration Format (AF),(0) G's,,,,,,,,,,,,,,,
Accelerometer Full Scale (AFS),(2) +/- 2 G's,,,,,,,,,,,,,,,
Magnetometer Status (MS),(1) On,,,,,,,,,,,,,,,
Magnetic Field Format (MFF),(0) Gauss,,,,,,,,,,,,,,,
Magnetic Field Gain (MFG),(1300) milli-gauss,,,,,,,,,,,,,,,
Gyroscope Status (GS),(1) On,,,,,,,,,,,,,,,
Angular Rate Format (ARF),(0) DPS: Degrees per second,,,,,,,,,,,,,,,
Angular Rate Full Scale (ARFS),(250000) milli-degrees per second/250 DPS,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,Second,Sub-Second,Acceleration-X (G's),Acceleration-Y (G's),Acceleration-Z (G's),MagneticField-X (Gauss),MagneticField-Y (Gauss),MagneticField-Z (Gauss),AngularRate-X (dps),AngularRate-Y (dps),AngularRate-Z (dps),
2016,1,9,13,29,32,0,-0.991,-0.018,0.024,-0.08,0.0936,0.1194,-0.1333,-0.0167,1.1083,
2016,1,9,13,29,32,0.0312,-0.991,-0.003,0.029,-0.0791,0.0918,0.1133,-0.775,-0.1,-1.5083,
2016,1,9,13,29,32,0.0625,-0.989,-0.008,0.03,-0.0836,0.0882,0.1122,-0.45,0.025,0.5,
2016,1,9,13,29,32,0.0937,-0.995,-0.002,0.03,-0.0818,0.0909,0.1133,-0.7167,0.8917,-0.4833,
2016,1,9,13,29,32,0.125,-0.988,-0.012,0.024,-0.0818,0.09,0.1153,-0.6333,-0.1,-0.4583,
2016,1,9,13,29,32,0.1562,-0.992,-0.004,0.027,-0.0745,0.0973,0.1214,-0.7917,0.6,0.1667,
2016,1,9,13,29,32,0.1875,-0.99,-0.01,0.025,-0.0791,0.0982,0.1245,-0.475,-0.0833,-0.775,
2016,1,9,13,29,32,0.2187,-0.994,-0.009,0.025,-0.0791,0.0927,0.1173,-0.2833,0.0167,0.175,
2016,1,9,13,29,32,0.25,-0.996,-0.011,0.033,-0.0773,0.09,0.1194,-0.55,-0.0833,-0.5667,
2016,1,9,13,29,32,0.2812,-0.994,-0.01,0.027,-0.08,0.0891,0.1133,-0.425,0.4667,-0.05,
2016,1,9,13,29,32,0.3125,-0.995,-0.008,0.027,-0.0827,0.09,0.1153,-0.275,0.0583,-0.2917,
2016,1,9,13,29,32,0.3437,-0.986,-0.006,0.037,-0.0764,0.0909,0.1163,-0.7167,-0.2583,-0.5167,
2016,1,9,13,29,32,0.375,-1.005,-0.003,0.006,-0.0764,0.0882,0.1204,-0.8,2.5083,0.275,
2016,1,9,13,29,32,0.4062,-0.997,-0.005,0.04,-0.0755,0.0918,0.1143,0.025,-2.0667,-0.6167,
2016,1,9,13,29,32,0.4375,-0.986,-0.007,0.017,-0.0791,0.09,0.1133,-0.3,0.3917,-0.325,
2016,1,9,13,29,32,0.4687,-0.994,-0.002,0.015,-0.0809,0.0855,0.1122,-0.3333,1.3667,0.3083,
2016,1,9,13,29,32,0.5,-0.99,-0.011,0.01,-0.0818,0.0864,0.1102,-0.1167,-0.1083,-0.7917,
2016,1,9,13,29,32,0.5312,-0.993,-0.009,0.024,-0.08,0.0827,0.1102,-0.175,-0.525,-0.1,
2016,1,9,13,29,32,0.5625,-0.988,-0.017,0.022,-0.0691,0.0936,0.1235,-0.7,-0.1583,-0.65,
2016,1,9,13,29,32,0.5937,-0.995,-0.01,0.011,-0.0782,0.0873,0.1143,-0.6667,2.225,0.275,
2016,1,9,13,29,32,0.625,-0.995,-0.011,0.041,-0.0755,0.0891,0.1204,0.625,-2,-0.5,
2016,1,9,13,29,32,0.6562,-0.997,-0.004,0.033,-0.0727,0.0927,0.1265,-0.075,0.7083,-0.6917,
2016,1,9,13,29,32,0.6875,-0.994,-0.005,0.033,-0.0745,0.0936,0.1235,0.525,-0.2333,0.5333,
2016,1,9,13,29,32,0.7187,-0.991,-0.012,0.023,-0.0773,0.09,0.1224,-0.6333,0.95,-1.275,
2016,1,9,13,29,32,0.75,-0.994,0.001,0.033,-0.0782,0.0891,0.1204,-1.0667,0.5833,0.8083,
2016,1,9,13,29,32,0.7812,-0.987,-0.023,0.03,-0.0764,0.0864,0.1153,-1.9,1.8083,0.1417,
2016,1,9,13,29,32,0.8125,-0.99,-0.008,0.023,-0.0773,0.0873,0.1153,-0.4333,-0.15,0.2833,
2016,1,9,13,29,32,0.8437,-0.986,-0.016,0.034,-0.0755,0.0891,0.1163,0.5,-1.05,-1.1083,
2016,1,9,13,29,32,0.875,-0.997,-0.002,0.021,-0.0755,0.09,0.1224,-0.3667,1.5083,0.8333,
2016,1,9,13,29,32,0.9062,-0.996,-0.001,0.014,-0.0764,0.0891,0.1133,-0.525,-1.125,-1.375,
2016,1,9,13,29,32,0.9375,-0.99,-0.012,0.029,-0.0782,0.0864,0.1122,-1.0917,0.55,0.025,
2016,1,9,13,29,32,0.9687,-0.999,-0.005,0.02,-0.0809,0.0836,0.1122,-0.9833,0.2583,-0.225,
2016,1,9,13,29,33,0,-0.993,-0.015,0.028,-0.0809,0.0864,0.1122,-0.5583,-0.4417,-0.7833,
2016,1,9,13,29,33,0.0312,-0.994,-0.004,0.028,-0.0818,0.0836,0.1143,0,0.2,0.5333,
2016,1,9,13,29,33,0.0625,-0.991,-0.014,0.028,-0.0764,0.0873,0.1194,0.0417,-0.2,-1.3333,
2016,1,9,13,29,33,0.0937,-0.999,-0.001,0.026,-0.0745,0.0927,0.1194,0.275,0.2833,0.6333,
2016,1,9,13,29,33,0.125,-0.998,-0.009,0.029,-0.0682,0.0945,0.1245,-0.3917,-0.3167,-0.7583,
2016,1,9,13,29,33,0.1562,-0.994,-0.009,0.035,-0.0727,0.0936,0.1245,-0.35,-0.0583,-0.3333,
2016,1,9,13,29,33,0.1875,-0.992,-0.005,0.026,-0.0736,0.0909,0.1224,0.25,0.6667,0.1167,
2016,1,9,13,29,33,0.2187,-0.988,-0.007,0.035,-0.0773,0.0909,0.1245,0.4917,-1.0833,-0.7667,
2016,1,9,13,29,33,0.25,-0.988,-0.004,0.029,-0.0773,0.0864,0.1163,-0.325,0.4,0.075,
2016,1,9,13,29,33,0.2812,-0.989,-0.007,0.028,-0.0764,0.09,0.1153,-0.9167,0.325,-0.6083,
2016,1,9,13,29,33,0.3125,-0.991,-0.008,0.032,-0.0791,0.0891,0.1173,-0.5333,0.4083,-0.15,
2016,1,9,13,29,33,0.3437,-0.994,-0.01,0.038,-0.0764,0.0855,0.1184,-0.8167,-0.0417,-0.475,
2016,1,9,13,29,33,0.375,-0.996,-0.008,0.026,-0.0645,0.0945,0.1296,-1,0.775,-0.2083,
2016,1,9,13,29,33,0.4062,-0.994,-0.01,0.034,-0.0755,0.0882,0.1143,-0.625,-0.475,-0.175,
2016,1,9,13,29,33,0.4375,-0.991,-0.01,0.025,-0.0773,0.0855,0.1133,-0.7417,0.6917,-0.5,
2016,1,9,13,29,33,0.4687,-0.995,-0.005,0.029,-0.0791,0.0827,0.1143,-0.6583,0.2417,0.075,
2016,1,9,13,29,33,0.5,-0.994,-0.011,0.023,-0.08,0.0845,0.1092,-0.8417,0.275,-0.6667,
2016,1,9,13,29,33,0.5312,-0.992,-0.009,0.034,-0.0791,0.0845,0.1082,-0.2583,-0.1667,-0.0417,
2016,1,9,13,29,33,0.5625,-0.989,-0.013,0.027,-0.0736,0.0864,0.1173,-0.425,-0.25,-0.8167,
2016,1,9,13,29,33,0.5937,-0.992,0.002,0.029,-0.0773,0.0882,0.1163,-0.1917,-1.025,-0.3917,
2016,1,9,13,29,33,0.625,-0.99,-0.008,0.032,-0.0718,0.0945,0.1255,-0.125,1.2083,-0.775,
2016,1,9,13,29,33,0.6562,-0.998,-0.003,0.025,-0.0736,0.0927,0.1214,-0.2,-0.8833,0.2917,
2016,1,9,13,29,33,0.6875,-0.998,-0.012,0.024,-0.0745,0.0918,0.1245,-0.8,0.5083,-1.175,
2016,1,9,13,29,33,0.7187,-0.998,-0.013,0.032,-0.0745,0.0918,0.1214,-0.0833,-0.6083,0.3,
2016,1,9,13,29,33,0.75,-0.997,-0.011,0.028,-0.0773,0.0873,0.1173,-0.5917,1.0833,-0.7833,
2016,1,9,13,29,33,0.7812,-0.996,-0.012,0.017,-0.0782,0.0882,0.1184,-0.4333,0.2667,0.2,
2016,1,9,13,29,33,0.8125,-0.996,-0.005,0.032,-0.08,0.0855,0.1163,-0.2083,-0.25,-0.475,
2016,1,9,13,29,33,0.8437,-0.992,-0.014,0.031,-0.0755,0.0882,0.1173,-0.3583,0.25,-0.3,
2016,1,9,13,29,33,0.875,-0.994,-0.003,0.023,-0.0764,0.0909,0.1204,-0.5167,0.2417,0.1333,
2016,1,9,13,29,33,0.9062,-0.992,-0.011,0.03,-0.0809,0.09,0.1184,-0.3917,-1,-0.9417,
2016,1,9,13,29,33,0.9375,-0.997,-0.008,0.034,-0.0755,0.0864,0.1112,-0.4667,0.4583,0.1083,
2016,1,9,13,29,33,0.9687,-0.994,-0.012,0.022,-0.0791,0.0836,0.1122,-0.7417,0.625,-0.525,
2016,1,9,13,29,34,0,-0.992,-0.013,0.027,-0.0809,0.0845,0.1112,-0.675,-0.3833,-0.1417,
2016,1,9,13,29,34,0.0312,-0.989,-0.009,0.037,-0.0791,0.0864,0.1112,-0.725,0.05,-0.475,
2016,1,9,13,29,34,0.0625,-0.992,-0.01,0.029,-0.0755,0.0873,0.1173,-0.425,0.1167,-0.3083,
2016,1,9,13,29,34,0.0937,-0.997,-0.005,0.03,-0.0773,0.0864,0.1184,-0.075,0.3,0.025,
2016,1,9,13,29,34,0.125,-0.991,-0.008,0.031,-0.0718,0.0936,0.1224,-0.6583,-0.15,-0.625,
2016,1,9,13,29,34,0.1562,-0.995,-0.003,0.028,-0.0709,0.0955,0.1224,-0.7417,0.375,0.0167,
2016,1,9,13,29,34,0.1875,-0.996,-0.009,0.026,-0.0718,0.0918,0.1204,-0.325,-0.05,-0.5583,
2016,1,9,13,29,34,0.2187,-0.993,-0.005,0.023,-0.0745,0.0873,0.1184,-0.5333,0.3333,-0.2583,
2016,1,9,13,29,34,0.25,-0.991,-0.005,0.031,-0.0755,0.0891,0.1153,-0.4583,-0.175,-0.2917,
2016,1,9,13,29,34,0.2812,-0.994,-0.008,0.021,-0.0782,0.0882,0.1163,-0.6917,-0.075,-0.325,
2016,1,9,13,29,34,0.3125,-0.995,-0.006,0.019,-0.0782,0.0864,0.1184,-0.85,0.625,-0.2083,
2016,1,9,13,29,34,0.3437,-0.992,-0.006,0.033,-0.0773,0.0864,0.1173,0.4083,-0.6083,-0.1667,
2016,1,9,13,29,34,0.375,-0.989,-0.013,0.027,-0.0782,0.0882,0.1194,0.1,0.7417,-0.2333,
2016,1,9,13,29,34,0.4062,-0.991,-0.002,0.026,-0.0791,0.0873,0.1133,-0.2833,-0.3667,-0.1667,
2016,1,9,13,29,34,0.4375,-0.989,-0.007,0.031,-0.0764,0.0891,0.1143,-0.9833,0.0833,-0.8917,
2016,1,9,13,29,34,0.4687,-1,-0.008,0.026,-0.08,0.0845,0.1092,-0.4167,0.6833,0.5417,
2016,1,9,13,29,34,0.5,-0.994,-0.007,0.022,-0.0791,0.0818,0.1153,0.2333,-0.6333,-0.5667,
2016,1,9,13,29,34,0.5312,-0.995,-0.014,0.022,-0.0782,0.0864,0.1133,0.0083,0.5083,-0.225,
2016,1,9,13,29,34,0.5625,-0.99,-0.005,0.036,-0.0755,0.0882,0.1184,0.0167,-0.6667,-0.2,
2016,1,9,13,29,34,0.5937,-0.985,-0.013,0.033,-0.0727,0.0864,0.1173,-0.675,1.0833,-0.7083,
2016,1,9,13,29,34,0.625,-0.995,-0.006,0.027,-0.0718,0.0909,0.1245,-0.125,-0.775,0.1583,
2016,1,9,13,29,34,0.6562,-0.993,-0.01,0.033,-0.0682,0.0909,0.1245,-0.5,0.35,-1.0167,
2016,1,9,13,29,34,0.6875,-0.993,-0.009,0.032,-0.0718,0.0891,0.1224,-0.575,0.2667,0.35,
2016,1,9,13,29,34,0.7187,-0.991,-0.01,0.02,-0.0736,0.0891,0.1184,-0.9083,0.3333,-0.75,
2016,1,9,13,29,34,0.75,-0.991,-0.006,0.019,-0.0709,0.0873,0.1163,-0.575,-0.0417,-0.0583,
2016,1,9,13,29,34,0.7812,-0.992,-0.01,0.016,-0.0709,0.0855,0.1204,-0.2917,-0.025,0,
2016,1,9,13,29,34,0.8125,-0.99,-0.018,0.017,-0.07,0.0855,0.1204,-0.4667,0.675,-0.7,
2016,1,9,13,29,34,0.8437,-0.991,-0.008,0.03,-0.0691,0.0855,0.1194,-0.2417,-0.1167,0.275,
2016,1,9,13,29,34,0.875,-0.998,-0.014,0.019,-0.0691,0.0891,0.1194,-0.6333,0.4,-0.8167,
2016,1,9,13,29,34,0.9062,-0.991,-0.007,0.032,-0.0727,0.0818,0.1173,-0.4417,-0.375,0.1083,
2016,1,9,13,29,34,0.9375,-0.988,-0.011,0.025,-0.0709,0.0827,0.1122,-0.925,0.725,-0.6083,
2016,1,9,13,29,34,0.9687,-0.989,-0.008,0.032,-0.0745,0.0818,0.1143,-0.5083,-0.5667,-0.0833,
2016,1,9,13,29,35,0,-0.993,-0.013,0.016,-0.0755,0.0809,0.1143,-0.65,0.7167,-0.125,
2016,1,9,13,29,35,0.0312,-0.998,-0.012,0.026,-0.0718,0.0855,0.1173,-0.575,-0.1333,-0.5167,
2016,1,9,13,29,35,0.0625,-0.998,-0.009,0.023,-0.0691,0.0855,0.1184,-0.375,0.2833,-0.0083,
2016,1,9,13,29,35,0.0937,-0.997,-0.015,0.032,-0.0691,0.0873,0.1245,-0.425,-0.3417,-0.5917,
2016,1,9,13,29,35,0.125,-0.997,-0.011,0.022,-0.0709,0.0891,0.1286,-0.35,0.4333,-0.1167,
2016,1,9,13,29,35,0.1562,-0.991,-0.012,0.026,-0.0691,0.0882,0.1245,-0.275,-0.3667,-0.5,
2016,1,9,13,29,35,0.1875,-0.988,-0.002,0.025,-0.0691,0.09,0.1245,0.0167,-0.1833,0.025,
2016,1,9,13,29,35,0.2187,-0.989,-0.008,0.031,-0.0627,0.09,0.1245,-0.7,-0.0417,-0.9917,
2016,1,9,13,29,35,0.25,-0.993,-0.014,0.017,-0.0691,0.0836,0.1204,-0.5,0.4167,0.4167,
2016,1,9,13,29,35,0.2812,-0.994,-0.008,0.038,-0.0709,0.0855,0.1204,-0.4,-0.2583,-0.5917,
2016,1,9,13,29,35,0.3125,-0.991,-0.018,0.03,-0.0709,0.0873,0.1214,-1.025,1.7,0.0417,
2016,1,9,13,29,35,0.3437,-0.991,-0.005,0.036,-0.0709,0.0855,0.1194,-0.3917,-0.7583,-0.275,
2016,1,9,13,29,35,0.375,-0.992,-0.016,0.028,-0.07,0.0845,0.1194,-0.5833,0.15,-0.8333,
2016,1,9,13,29,35,0.4062,-0.995,-0.007,0.032,-0.0718,0.0818,0.1153,-0.4917,0.5,0.3583,
2016,1,9,13,29,35,0.4375,-0.992,-0.011,0.024,-0.0709,0.0809,0.1122,-0.3417,0.1167,-0.875,
2016,1,9,13,29,35,0.4687,-0.994,-0.012,0.033,-0.0745,0.08,0.1153,-0.275,0,0.45,
2016,1,9,13,29,35,0.5,-0.998,-0.006,0.018,-0.0791,0.0745,0.1092,-0.4,0.5917,-0.75,
2016,1,9,13,29,35,0.5312,-0.996,-0.004,0.021,-0.0727,0.08,0.1122,-0.15,-0.4667,0.0083,
2016,1,9,13,29,35,0.5625,-0.994,-0.006,0.023,-0.0736,0.0773,0.1153,-0.2,0.1167,-0.35,
2016,1,9,13,29,35,0.5937,-0.993,-0.013,0.024,-0.0709,0.0809,0.1153,-0.3417,-0.1917,-0.5,
2016,1,9,13,29,35,0.625,-0.992,-0.007,0.015,-0.0727,0.0755,0.1112,-0.725,1.0583,0.2083,
2016,1,9,13,29,35,0.6562,-0.992,-0.006,0.025,-0.07,0.0791,0.1153,-0.3833,-0.5667,-0.575,
2016,1,9,13,29,35,0.6875,-0.993,-0.01,0.017,-0.0673,0.0855,0.1224,-0.6833,0.6333,-0.2583,
2016,1,9,13,29,35,0.7187,-0.99,-0.008,0.031,-0.0627,0.0855,0.1265,-0.2667,-0.6083,-0.1833,
2016,1,9,13,29,35,0.75,-0.992,-0.012,0.029,-0.0618,0.09,0.1316,-0.2083,0.3417,-0.6833,
2016,1,9,13,29,35,0.7812,-0.989,-0.006,0.034,-0.0573,0.0891,0.1296,-0.4667,-0.325,0.025,
2016,1,9,13,29,35,0.8125,-0.992,-0.011,0.027,-0.06,0.0891,0.1316,-0.55,0.6417,-0.5167,
2016,1,9,13,29,35,0.8437,-0.99,-0.005,0.036,-0.06,0.0845,0.1286,0.0167,-0.875,-0.3083,
2016,1,9,13,29,35,0.875,-0.996,-0.009,0.014,-0.0591,0.0909,0.1276,-0.1333,0.8333,-0.375,
2016,1,9,13,29,35,0.9062,-0.993,-0.006,0.029,-0.0564,0.0864,0.1327,0.0417,-0.8417,-0.2333,
2016,1,9,13,29,35,0.9375,-0.995,-0.011,0.019,-0.0573,0.0873,0.1337,-0.6083,0.55,-0.3417,
2016,1,9,13,29,35,0.9687,-0.997,-0.009,0.031,-0.0591,0.0909,0.1357,-1.0083,0.55,-0.15,
2016,1,9,13,29,36,0,-0.994,-0.015,0.026,-0.0582,0.0891,0.1347,-0.4833,-0.0083,-0.2,
2016,1,9,13,29,36,0.0312,-0.995,-0.012,0.03,-0.0555,0.0882,0.1327,-0.5917,0.8,-0.3083,
2016,1,9,13,29,36,0.0625,-0.991,-0.012,0.023,-0.0555,0.0873,0.1337,-0.6167,0.0667,-0.3333,
2016,1,9,13,29,36,0.0937,-0.993,-0.01,0.036,-0.0555,0.0836,0.1337,-0.9083,0.1167,-0.3667,
2016,1,9,13,29,36,0.125,-0.996,-0.009,0.031,-0.0536,0.0873,0.1347,-0.7417,0.4083,-0.375,
2016,1,9,13,29,36,0.1562,-0.993,-0.003,0.035,-0.0518,0.0836,0.1357,-0.7583,-0.125,-0.35,
2016,1,9,13,29,36,0.1875,-0.996,-0.008,0.027,-0.0509,0.0864,0.1378,-1.025,0.675,-0.4083,
2016,1,9,13,29,36,0.2187,-0.994,-0.007,0.038,-0.0509,0.0855,0.1357,-1.2833,-0.3583,-0.3167,
2016,1,9,13,29,36,0.25,-0.996,-0.012,0.025,-0.0518,0.0845,0.1367,-1.2583,0.575,-0.5833,
2016,1,9,13,29,36,0.2812,-0.992,-0.009,0.034,-0.0518,0.0845,0.1357,-0.1917,-0.2333,0.0833,
2016,1,9,13,29,36,0.3125,-0.992,-0.011,0.028,-0.0536,0.0836,0.1367,-0.3417,0.5083,-0.4417,
2016,1,9,13,29,36,0.3437,-0.994,-0.005,0.029,-0.0455,0.0836,0.1388,0.5917,-0.3583,0,
2016,1,9,13,29,36,0.375,-0.992,-0.008,0.03,-0.0491,0.0836,0.1367,0.325,0.1417,-0.1917,
2016,1,9,13,29,36,0.4062,-0.993,-0.008,0.022,-0.0491,0.0855,0.1357,-0.65,0.5917,-0.4167,
2016,1,9,13,29,36,0.4375,-0.995,-0.006,0.029,-0.05,0.0818,0.1388,-0.3417,-0.2583,0.1,
2016,1,9,13,29,36,0.4687,-0.991,-0.012,0.031,-0.0482,0.0882,0.1378,-0.1167,-0.125,-0.775,
2016,1,9,13,29,36,0.5,-0.993,-0.004,0.022,-0.0518,0.0791,0.1327,0.35,0.7,0.5333,
2016,1,9,13,29,36,0.5312,-0.991,-0.014,0.032,-0.0582,0.0718,0.1276,-0.1917,-0.8417,-0.9333,
2016,1,9,13,29,36,0.5625,-0.992,-0.003,0.026,-0.0536,0.0727,0.1255,-1.0333,1.2,-0.0417,
2016,1,9,13,29,36,0.5937,-0.994,-0.008,0.038,-0.0555,0.0736,0.1276,-0.3167,-0.45,0.1833,
2016,1,9,13,29,36,0.625,-0.992,-0.007,0.026,-0.0509,0.0773,0.1306,-0.3583,0.4583,-1,
2016,1,9,13,29,36,0.6562,-0.991,0.002,0.03,-0.0536,0.0827,0.1347,-0.2,-0.0333,0.5833,
2016,1,9,13,29,36,0.6875,-0.989,-0.016,0.027,-0.0527,0.08,0.1255,-0.5083,0.075,-1.2083,
2016,1,9,13,29,36,0.7187,-0.991,-0.004,0.026,-0.0564,0.0736,0.1286,-0.65,0.6083,0.275,
2016,1,9,13,29,36,0.75,-0.987,-0.009,0.024,-0.0555,0.0736,0.1255,-0.8083,0.1333,-0.6,
2016,1,9,13,29,36,0.7812,-0.992,-0.001,0.032,-0.0555,0.0755,0.1276,-0.9667,0.2,0.0167,
2016,1,9,13,29,36,0.8125,-0.988,-0.012,0.023,-0.0573,0.0755,0.1265,-0.5833,0.2833,-0.9,
2016,1,9,13,29,36,0.8437,-0.991,-0.005,0.033,-0.0564,0.0755,0.1235,0.075,-0.45,0.4333,
2016,1,9,13,29,36,0.875,-0.992,-0.007,0.029,-0.0555,0.0782,0.1224,-0.4833,0.775,-0.95,
2016,1,9,13,29,36,0.9062,-0.992,-0.01,0.024,-0.0582,0.0745,0.1245,0.0583,-0.6333,0.3917,
2016,1,9,13,29,36,0.9375,-0.992,-0.008,0.024,-0.0582,0.0782,0.1255,-0.3417,0.35,-0.725,
2016,1,9,13,29,36,0.9687,-0.993,-0.012,0.025,-0.0573,0.0764,0.1245,-0.0083,-0.3917,-0.1917,
2016,1,9,13,29,37,0,-0.991,-0.004,0.021,-0.0527,0.0818,0.1306,-0.1333,0.35,-0.25,
2016,1,9,13,29,37,0.0312,-0.989,-0.007,0.015,-0.0518,0.0818,0.1316,-0.5083,-0.3083,-0.375,
2016,1,9,13,29,37,0.0625,-0.993,-0.007,0.023,-0.0491,0.0836,0.1388,-0.5333,0.275,-0.1667,
2016,1,9,13,29,37,0.0937,-0.992,-0.012,0.032,-0.0527,0.0809,0.1347,-0.5,-0.2083,-0.625,
2016,1,9,13,29,37,0.125,-0.996,-0.006,0.03,-0.0527,0.0809,0.1306,-0.4917,0.5083,0.0417,
2016,1,9,13,29,37,0.1562,-0.991,-0.013,0.035,-0.0491,0.0864,0.1357,-0.3083,-0.35,-0.4583,
2016,1,9,13,29,37,0.1875,-0.992,-0.011,0.027,-0.0536,0.0818,0.1327,-0.5583,0.5417,-0.3083,
2016,1,9,13,29,37,0.2187,-0.997,-0.007,0.03,-0.0527,0.0836,0.1337,-0.7,0.2833,-0.075,
2016,1,9,13,29,37,0.25,-0.995,-0.008,0.031,-0.05,0.0845,0.1357,-0.6917,-0.225,-0.5417,
2016,1,9,13,29,37,0.2812,-0.994,-0.008,0.03,-0.0509,0.0827,0.1388,-0.4333,0.325,-0.1667,
2016,1,9,13,29,37,0.3125,-0.991,-0.012,0.03,-0.0509,0.0845,0.1378,-0.075,0,-0.5167,
2016,1,9,13,29,37,0.3437,-0.994,-0.005,0.021,-0.0473,0.0864,0.1347,-0.1583,0.3583,-0.0917,
2016,1,9,13,29,37,0.375,-0.991,-0.01,0.019,-0.0545,0.0791,0.1286,-0.2333,-0.325,-0.35,
2016,1,9,13,29,37,0.4062,-0.989,-0.014,0.024,-0.0509,0.0864,0.1378,-0.6917,0.225,-0.6,
2016,1,9,13,29,37,0.4375,-0.991,-0.001,0.022,-0.05,0.0836,0.1398,-0.3667,0.4583,0.275,
2016,1,9,13,29,37,0.4687,-0.989,-0.011,0.027,-0.0509,0.0855,0.1347,-0.1667,-0.5167,-0.85,
2016,1,9,13,29,37,0.5,-0.998,-0.003,0.032,-0.0509,0.0836,0.1347,-0.2,0.2333,0.125,
2016,1,9,13,29,37,0.5312,-0.994,-0.013,0.03,-0.0509,0.0873,0.1378,-0.7917,0.3833,-0.35,
2016,1,9,13,29,37,0.5625,-0.991,-0.007,0.032,-0.0464,0.0909,0.1398,-0.7833,-0.2583,-0.5,
2016,1,9,13,29,37,0.5937,-0.993,-0.012,0.022,-0.0536,0.0836,0.1316,-0.45,0.075,-0.7083,
2016,1,9,13,29,37,0.625,-0.991,-0.01,0.021,-0.0518,0.0873,0.1337,-0.4667,0.175,0.0417,
2016,1,9,13,29,37,0.6562,-0.997,-0.008,0.029,-0.0536,0.0882,0.1408,-0.4083,-0.4,-0.7583,
2016,1,9,13,29,37,0.6875,-0.993,-0.013,0.031,-0.0482,0.0936,0.1388,-0.5167,0.4167,-0.0167,
2016,1,9,13,29,37,0.7187,-0.996,-0.002,0.023,-0.0527,0.0873,0.1408,-0.4,0.1833,-0.3333,
2016,1,9,13,29,37,0.75,-0.994,-0.009,0.031,-0.0518,0.0864,0.1327,-0.3333,-0.2583,-0.6333,
2016,1,9,13,29,37,0.7812,-0.993,-0.005,0.029,-0.0527,0.0873,0.1367,-0.35,0.3333,0.1,
2016,1,9,13,29,37,0.8125,-0.995,-0.012,0.025,-0.0536,0.0891,0.1378,-0.2667,-0.2083,-0.7083,
2016,1,9,13,29,37,0.8437,-0.993,-0.009,0.028,-0.05,0.09,0.1378,-0.2667,-0.0083,-0.0917,
2016,1,9,13,29,37,0.875,-0.994,-0.008,0.023,-0.0482,0.0945,0.1367,-0.4833,0.425,-0.1833,
2016,1,9,13,29,37,0.9062,-0.992,-0.008,0.027,-0.0564,0.0918,0.1388,-0.3833,-0.0583,-0.475,
2016,1,9,13,29,37,0.9375,-0.998,-0.009,0.024,-0.0564,0.0882,0.1347,-0.2333,0.1583,-0.1833,
2016,1,9,13,29,37,0.9687,-0.994,-0.01,0.03,-0.0573,0.0882,0.1388,-0.3583,-0.1583,-0.475,
